Sr No,Timestamp,,,Device Name,MAC Address,RSSI,Raw Data
32,03-03-2022 01:24:28:212,,,-,00:A0:50:0C:22:10,-55,1a1310002150005000100001000800000805f9b013100017663c3
33,03-03-2022 01:24:35:063,,,-,00:A0:50:0C:22:10,-50,1a1310002150005000100001000800000805f9b013100017663c3
34,03-03-2022 01:24:38:523,,,-,00:A0:50:0C:22:10,-51,1a1310002150005000100001000800000805f9b013100017563c3
35,03-03-2022 01:24:41:947,,,-,00:A0:50:0C:22:10,-55,1a1310002150005000100001000800000805f9b013100017663c3
36,03-03-2022 01:24:45:413,,,-,00:A0:50:0C:22:10,-50,1a1310002150005000100001000800000805f9b013100017663c3
37,03-03-2022 01:24:48:833,,,-,00:A0:50:0C:22:10,-49,1a1310002150005000100001000800000805f9b013100017663c3
38,03-03-2022 01:24:52:276,,,-,00:A0:50:0C:22:10,-49,1a1310002150005000100001000800000805f9b013100017663c3
39,03-03-2022 01:24:55:720,,,-,00:A0:50:0C:22:10,-50,1a1310002150005000100001000800000805f9b013100017663c3
40,03-03-2022 01:25:06:049,,,-,00:A0:50:0C:22:10,-51,1a1310002150005000100001000800000805f9b013100017663c3
41,03-03-2022 01:25:09:499,,,-,00:A0:50:0C:22:10,-49,1a1310002150005000100001000800000805f9b013100017663c3
42,03-03-2022 01:25:12:942,,,-,00:A0:50:0C:22:10,-55,1a1310002150005000100001000800000805f9b013100017663c3
43,03-03-2022 01:25:16:367,,,-,00:A0:50:0C:22:10,-55,1a1310002150005000100001000800000805f9b013100017663c3
44,03-03-2022 01:25:23:262,,,-,00:A0:50:0C:22:10,-55,1a1310002150005000100001000800000805f9b013100017763c3
45,03-03-2022 01:25:26:705,,,-,00:A0:50:0C:22:10,-50,1a1310002150005000100001000800000805f9b013100017763c3
46,03-03-2022 01:25:30:135,,,-,00:A0:50:0C:22:10,-49,1a1310002150005000100001000800000805f9b013100017763c3
47,03-03-2022 01:25:43:912,,,-,00:A0:50:0C:22:10,-51,1a1310002150005000100001000800000805f9b013100017763c3
48,03-03-2022 01:25:50:795,,,-,00:A0:50:0C:22:10,-50,1a1310002150005000100001000800000805f9b013100017763c3
49,03-03-2022 01:25:54:245,,,-,00:A0:50:0C:22:10,-49,1a1310002150005000100001000800000805f9b013100017763c3
50,03-03-2022 01:26:04:576,,,-,00:A0:50:0C:22:10,-55,1a1310002150005000100001000800000805f9b013100017763c3
51,03-03-2022 01:26:08:005,,,-,00:A0:50:0C:22:10,-50,1a1310002150005000100001000800000805f9b013100017763c3
52,03-03-2022 01:26:14:886,,,-,00:A0:50:0C:22:10,-51,1a1310002150005000100001000800000805f9b013100017763c3
53,03-03-2022 01:26:28:696,,,-,00:A0:50:0C:22:10,-55,1a1310002150005000100001000800000805f9b013100017763c3
54,03-03-2022 01:26:32:105,,,-,00:A0:50:0C:22:10,-50,1a1310002150005000100001000800000805f9b013100017763c3
55,03-03-2022 01:26:35:536,,,-,00:A0:50:0C:22:10,-51,1a1310002150005000100001000800000805f9b013100017663c3
56,03-03-2022 01:26:42:423,,,-,00:A0:50:0C:22:10,-50,1a1310002150005000100001000800000805f9b013100017763c3
57,03-03-2022 01:26:45:896,,,-,00:A0:50:0C:22:10,-50,1a1310002150005000100001000800000805f9b013100017663c3
58,03-03-2022 01:26:52:747,,,-,00:A0:50:0C:22:10,-55,1a1310002150005000100001000800000805f9b013100017663c3
59,03-03-2022 01:26:59:636,,,-,00:A0:50:0C:22:10,-55,1a1310002150005000100001000800000805f9b013100017663c3
60,03-03-2022 01:27:09:957,,,-,00:A0:50:0C:22:10,-51,1a1310002150005000100001000800000805f9b013100017663c3
61,03-03-2022 01:27:20:308,,,-,00:A0:50:0C:22:10,-50,1a1310002150005000100001000800000805f9b013100017663c3
62,03-03-2022 01:27:23:724,,,-,00:A0:50:0C:22:10,-50,1a1310002150005000100001000800000805f9b013100017663c3
63,03-03-2022 01:27:30:603,,,-,00:A0:50:0C:22:10,-51,1a1310002150005000100001000800000805f9b013100017663c3
64,03-03-2022 01:27:34:048,,,-,00:A0:50:0C:22:10,-55,1a1310002150005000100001000800000805f9b013100017663c3
65,03-03-2022 01:27:40:948,,,-,00:A0:50:0C:22:10,-55,1a1310002150005000100001000800000805f9b013100017663c3
66,03-03-2022 01:27:44:416,,,-,00:A0:50:0C:22:10,-55,1a1310002150005000100001000800000805f9b013100017663c3
67,03-03-2022 01:27:51:268,,,-,00:A0:50:0C:22:10,-50,1a1310002150005000100001000800000805f9b013100017663c3
68,03-03-2022 01:28:01:588,,,-,00:A0:50:0C:22:10,-50,1a1310002150005000100001000800000805f9b013100017663c3
69,03-03-2022 01:28:18:840,,,-,00:A0:50:0C:22:10,-50,1a1310002150005000100001000800000805f9b013100017663c3
70,03-03-2022 01:28:32:565,,,-,00:A0:50:0C:22:10,-50,1a1310002150005000100001000800000805f9b013100017663c3
71,03-03-2022 01:28:36:008,,,-,00:A0:50:0C:22:10,-49,1a1310002150005000100001000800000805f9b013100017663c3
72,03-03-2022 01:28:39:460,,,-,00:A0:50:0C:22:10,-51,1a1310002150005000100001000800000805f9b013100017663c3
73,03-03-2022 01:28:42:889,,,-,00:A0:50:0C:22:10,-51,1a1310002150005000100001000800000805f9b013100017663c3
74,03-03-2022 01:29:00:098,,,-,00:A0:50:0C:22:10,-51,1a1310002150005000100001000800000805f9b013100017663c3
75,03-03-2022 01:29:03:542,,,-,00:A0:50:0C:22:10,-51,1a1310002150005000100001000800000805f9b013100017663c3
76,03-03-2022 01:29:07:010,,,-,00:A0:50:0C:22:10,-49,1a1310002150005000100001000800000805f9b013100017663c3
77,03-03-2022 01:29:10:431,,,-,00:A0:50:0C:22:10,-49,1a1310002150005000100001000800000805f9b013100017663c3
78,03-03-2022 01:29:24:191,,,-,00:A0:50:0C:22:10,-55,1a1310002150005000100001000800000805f9b013100017663c3
79,03-03-2022 01:29:27:635,,,-,00:A0:50:0C:22:10,-55,1a1310002150005000100001000800000805f9b013100017663c3
80,03-03-2022 01:29:31:082,,,-,00:A0:50:0C:22:10,-50,1a1310002150005000100001000800000805f9b013100017663c3
