Sr No,Timestamp,Device Name,MAC Address,RSSI,Raw Data,,,,,Timestamp
16,26-12-2021 16:33:46:237,-,00:A0:50:0C:22:10,-64,1a1310002150005000100001000800000805f9b013100015e62c3,,,,,26-12-2021 16:33:46:237
17,26-12-2021 16:33:49:689,-,00:A0:50:0C:22:10,-68,1a1310002150005000100001000800000805f9b013100015e62c3,,,,,26-12-2021 16:33:49:689
18,26-12-2021 16:33:53:143,-,00:A0:50:0C:22:10,-68,1a1310002150005000100001000800000805f9b013100015e62c3,,,,,26-12-2021 16:33:53:143
19,26-12-2021 16:33:56:592,-,00:A0:50:0C:22:10,-61,1a1310002150005000100001000800000805f9b013100015e62c3,,,,,26-12-2021 16:33:56:592
20,26-12-2021 16:34:00:043,-,00:A0:50:0C:22:10,-61,1a1310002150005000100001000800000805f9b013100015e62c3,,,,,26-12-2021 16:34:00:043
21,26-12-2021 16:34:06:948,-,00:A0:50:0C:22:10,-61,1a1310002150005000100001000800000805f9b013100015e62c3,,,,,26-12-2021 16:34:06:948
22,26-12-2021 16:34:10:399,-,00:A0:50:0C:22:10,-61,1a1310002150005000100001000800000805f9b013100015e62c3,,,,,26-12-2021 16:34:10:399
23,26-12-2021 16:34:13:852,-,00:A0:50:0C:22:10,-61,1a1310002150005000100001000800000805f9b013100015e62c3,,,,,26-12-2021 16:34:13:852
24,26-12-2021 16:34:17:304,-,00:A0:50:0C:22:10,-66,1a1310002150005000100001000800000805f9b013100015e62c3,,,,,26-12-2021 16:34:17:304
25,26-12-2021 16:34:20:754,-,00:A0:50:0C:22:10,-61,1a1310002150005000100001000800000805f9b013100015e62c3,,,,,26-12-2021 16:34:20:754
26,26-12-2021 16:34:24:212,-,00:A0:50:0C:22:10,-61,1a1310002150005000100001000800000805f9b013100015e62c3,,,,,26-12-2021 16:34:24:212
27,26-12-2021 16:34:27:662,-,00:A0:50:0C:22:10,-61,1a1310002150005000100001000800000805f9b013100015e62c3,,,,,26-12-2021 16:34:27:662
